codigo_sucursal,codigo_cliente,fecha_cierre_comercial,deuda_vencida,deuda_total
257,5763,2024-04-21,704.59,6203.91
254,5384,2024-04-21,153.54,5938.46
216,7690,2024-04-21,675.26,953.96
254,8333,2024-04-21,277.77,6133.09
216,5776,2024-04-21,827.59,3664.1
257,6421,2024-04-21,420.88,7480.37
254,6044,2024-04-21,245.99,458.2
257,8993,2024-04-21,6.35,9702.41
257,2853,2024-04-21,199.69,1321.58
254,3885,2024-04-21,69.21,5305.28
216,5301,2024-04-21,970.74,4018.04
254,6327,2024-04-21,432.13,2045.72
257,7098,2024-04-21,510.04,1334.53
216,3014,2024-04-21,537.75,9049.47
257,3271,2024-04-21,822.36,6414.5
257,7882,2024-04-21,526.07,4888.88
254,5583,2024-04-21,50.67,1476.12
257,2264,2024-04-21,884.17,7490.92
254,7160,2024-04-21,118.16,3239.72
216,4222,2024-04-21,555.86,7479.6
